q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,3,212,1,706,732,46,46,34,22,13,8,6,4,3,2,1,0,57,48,32,22,14,9,4,2,2,2
24,3,212,2,706,667,46,46,34,22,13,8,6,4,3,2,1,0,64,45,31,19,10,7,6,4,2,1
24,3,220,0,667,610,43,46,33,21,14,8,6,4,3,1,0,0,62,43,30,20,11,7,4,3,2,0
24,3,220,1,667,622,43,46,33,21,14,8,6,4,3,1,0,0,60,49,31,17,11,8,5,2,1,1
24,3,220,2,667,617,43,46,33,21,14,8,6,4,3,1,0,0,57,44,29,20,14,7,5,3,1,0
24,3,221,0,622,562,46,47,30,19,13,9,6,3,2,1,0,0,58,44,29,16,11,8,4,2,1,0
24,3,221,1,622,571,46,47,30,19,13,9,6,3,2,1,0,0,61,44,28,18,12,6,3,2,1,1
24,3,221,2,622,551,46,47,30,19,13,9,6,3,2,1,0,0,57,42,26,19,11,7,5,2,1,0
24,3,222,0,672,647,47,43,32,23,13,8,5,4,2,2,1,0,63,44,31,18,10,7,5,4,2,1
24,3,222,1,672,656,47,43,32,23,13,8,5,4,2,2,1,0,59,45,31,21,13,7,4,3,1,1
24,3,222,2,672,629,47,43,32,23,13,8,5,4,2,2,1,0,58,44,28,19,12,8,5,2,2,1
24,4,1000,0,916,1175,0,68,51,36,24,16,12,9,5,2,1,76,75,55,37,23,16,9,5,3,2,1
24,4,1000,1,916,1111,0,68,51,36,24,16,12,9,5,2,1,75,76,50,33,23,15,11,7,4,1,1
24,4,1000,2,916,1162,0,68,51,36,24,16,12,9,5,2,1,75,75,53,37,25,16,11,7,3,2,1
24,4,1001,0,897,1142,0,72,53,35,22,17,11,6,5,4,2,77,77,54,35,21,15,12,7,5,2,0
24,4,1001,1,897,1097,0,72,53,35,22,17,11,6,5,4,2,74,77,49,34,23,15,8,7,3,2,2
24,4,1001,2,897,1128,0,72,53,35,22,17,11,6,5,4,2,77,74,53,34,24,16,9,4,4,3,1
24,4,1002,0,896,1090,0,64,52,35,25,18,12,8,4,2,2,78,73,52,34,25,17,9,4,3,2,1
24,4,1002,1,896,1127,0,64,52,35,25,18,12,8,4,2,2,72,78,56,36,23,15,10,6,3,2,1
24,4,1002,2,896,1136,0,64,52,35,25,18,12,8,4,2,2,73,72,51,37,24,15,10,7,3,1,1
24,4,1010,0,1034,1364,0,71,47,35,22,16,13,10,7,3,2,74,78,51,38,23,16,12,8,6,4,2
24,4,1010,1,1034,1378,0,71,47,35,22,16,13,10,7,3,2,77,74,50,34,26,18,14,9,5,2,1
24,4,1010,2,1034,1321,0,71,47,35,22,16,13,10,7,3,2,78,77,57,39,27,20,12,8,4,2,2
24,4,1012,0,1069,1388,0,64,52,33,27,18,11,8,5,5,4,79,80,56,37,27,19,11,6,5,5,3
24,4,1012,1,1069,1368,0,64,52,33,27,18,11,8,5,5,4,71,79,55,39,25,16,14,10,6,3,1
24,4,1012,2,1069,1421,0,64,52,33,27,18,11,8,5,5,4,80,71,55,38,29,19,11,9,6,4,3
24,4,1020,0,993,1285,0,68,57,41,26,16,10,9,5,4,3,83,77,56,41,24,18,11,7,4,2,2
24,4,1020,1,993,1225,0,68,57,41,26,16,10,9,5,4,3,80,83,59,35,23,14,9,8,6,4,1
24,4,1020,2,993,1220,0,68,57,41,26,16,10,9,5,4,3,77,80,57,39,27,16,12,7,3,2,1
24,4,1021,0,1023,1288,0,71,54,36,26,18,13,8,7,3,1,78,84,60,35,24,18,11,7,4,1,1
24,4,1021,1,1023,1362,0,71,54,36,26,18,13,8,7,3,1,78,78,54,43,29,16,11,7,6,3,2
24,4,1021,2,1023,1334,0,71,54,36,26,18,13,8,7,3,1,84,78,55,37,26,19,13,8,4,3,1
24,4,1022,0,999,1289,0,70,51,37,26,17,11,6,4,4,3,81,71,53,39,27,16,8,6,5,4,3
24,4,1022,1,999,1249,0,70,51,37,26,17,11,6,4,4,3,80,81,57,37,23,15,12,5,4,4,2
24,4,1022,2,999,1281,0,70,51,37,26,17,11,6,4,4,3,71,80,52,35,24,17,11,9,5,2,1
24,4,1100,0,815,989,0,67,50,33,19,12,10,9,4,3,1,70,72,46,30,20,14,10,5,2,2,1
24,4,1100,1,815,1105,0,67,50,33,19,12,10,9,4,3,1,68,70,46,30,20,15,10,7,4,1,1
24,4,1100,2,815,1087,0,67,50,33,19,12,10,9,4,3,1,72,68,51,33,20,12,9,7,4,3,1
24,4,1101,0,888,1107,0,65,53,38,23,16,10,6,5,3,2,73,74,46,33,23,15,11,6,4,2,1
24,4,1101,1,888,1098,0,65,53,38,23,16,10,6,5,3,2,75,73,55,31,21,16,9,6,3,2,1
24,4,1101,2,888,1061,0,65,53,38,23,16,10,6,5,3,2,74,75,56,40,22,12,7,5,4,2,1
24,4,1102,0,868,1090,0,68,48,30,25,16,10,5,3,2,2,68,76,47,27,20,14,9,6,3,3,2
24,4,1102,1,868,1093,0,68,48,30,25,16,10,5,3,2,2,68,68,47,34,25,14,7,4,3,2,1
24,4,1102,2,868,1092,0,68,48,30,25,16,10,5,3,2,2,76,68,50,35,21,13,9,5,4,2,2
24,4,1110,0,854,1040,0,69,54,36,24,14,7,7,5,4,2,72,75,52,33,23,12,6,6,4,2,1
24,4,1110,1,854,1034,0,69,54,36,24,14,7,7,5,4,2,75,72,50,36,22,12,9,4,3,3,1
24,4,1110,2,854,1034,0,69,54,36,24,14,7,7,5,4,2,75,75,51,30,18,15,10,8,4,1,0
24,4,1111,0,845,1030,0,69,49,33,22,18,12,5,4,2,2,80,65,52,34,21,13,7,4,4,2,1
24,4,1111,1,845,1118,0,69,49,33,22,18,12,5,4,2,2,73,80,50,33,23,14,11,6,4,2,1
24,4,1111,2,845,1072,0,69,49,33,22,18,12,5,4,2,2,65,73,47,33,23,18,9,5,2,2,2
24,4,1112,0,864,1075,0,64,49,38,27,15,10,5,3,3,2,72,77,52,37,24,12,7,5,4,2,1
24,4,1112,1,864,1059,0,64,49,38,27,15,10,5,3,3,2,69,72,47,34,23,14,8,5,3,3,2
24,4,1112,2,864,1110,0,64,49,38,27,15,10,5,3,3,2,77,69,55,34,20,14,10,5,3,2,1
24,4,1120,0,878,1075,0,69,50,35,22,17,11,7,5,2,1,75,71,49,32,20,17,12,5,3,1,1
24,4,1120,1,878,1112,0,69,50,35,22,17,11,7,5,2,1,75,75,54,34,23,13,8,7,5,2,1
24,4,1120,2,878,1102,0,69,50,35,22,17,11,7,5,2,1,71,75,49,36,24,15,8,5,2,2,1
24,4,1121,0,884,1081,0,62,53,35,25,17,12,7,3,3,2,76,68,53,32,24,17,9,5,2,2,2
24,4,1121,1,884,1090,0,62,53,35,25,17,12,7,3,3,2,76,76,55,37,25,15,8,3,3,2,1
24,4,1121,2,884,1085,0,62,53,35,25,17,12,7,3,3,2,68,76,50,36,21,13,11,8,4,2,0
24,4,1122,0,921,1164,0,66,49,33,23,15,10,9,7,3,2,74,71,51,35,21,13,10,8,6,3,1
24,4,1122,1,921,1149,0,66,49,33,23,15,10,9,7,3,2,73,74,48,34,26,14,12,8,3,1,1
24,4,1122,2,921,1151,0,66,49,33,23,15,10,9,7,3,2,71,73,53,34,23,20,10,6,4,2,1
24,4,2000,0,758,943,0,59,47,27,21,15,9,6,3,2,1,64,67,45,27,19,13,8,6,3,2,1
24,4,2000,1,758,942,0,59,47,27,21,15,9,6,3,2,1,61,64,44,31,21,13,7,4,2,1,1
24,4,2000,2,758,938,0,59,47,27,21,15,9,6,3,2,1,67,61,44,28,19,12,8,4,3,2,1
24,4,2001,0,676,788,0,63,43,32,19,14,9,4,3,2,1,64,59,40,28,18,14,6,3,2,1,0
24,4,2001,1,676,774,0,63,43,32,19,14,9,4,3,2,1,67,64,45,27,15,9,7,4,2,1,0
24,4,2001,2,676,802,0,63,43,32,19,14,9,4,3,2,1,59,67,42,29,19,10,6,3,2,1,1
24,4,2002,0,706,870,0,60,49,35,22,12,7,5,3,2,1,64,68,45,28,16,10,8,5,1,1,1
24,4,2002,1,706,821,0,60,49,35,22,12,7,5,3,2,1,65,64,45,29,20,11,5,3,3,1,0
24,4,2002,2,706,881,0,60,49,35,22,12,7,5,3,2,1,68,65,47,31,17,10,6,4,3,2,1
24,4,2010,0,706,880,0,64,44,30,20,12,8,5,3,2,2,69,63,47,29,16,12,6,4,2,1,1
24,4,2010,1,706,849,0,64,44,30,20,12,8,5,3,2,2,59,69,41,27,17,9,7,4,3,2,1
24,4,2010,2,706,902,0,64,44,30,20,12,8,5,3,2,2,63,59,39,27,20,12,8,5,3,2,1
24,4,2011,0,749,939,0,60,52,33,19,12,7,5,3,1,1,66,62,44,28,19,10,6,5,2,1,1
24,4,2011,1,749,924,0,60,52,33,19,12,7,5,3,1,1,68,66,46,29,16,11,7,3,3,2,2
24,4,2011,2,749,944,0,60,52,33,19,12,7,5,3,1,1,62,68,46,27,16,11,7,5,3,2,1
