q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,3,2,1151,1565,73,68,53,33,22,14,9,6,4,1,1,0,94,69,46,30,21,14,9,5,3,2
26,3,0,1122,1550,66,70,46,33,22,15,11,5,4,3,2,0,92,70,50,34,22,14,9,5,5,2
26,3,1,1122,1471,66,70,46,33,22,15,11,5,4,3,2,0,92,71,45,29,22,14,8,3,2,2
26,3,2,1122,1513,66,70,46,33,22,15,11,5,4,3,2,0,94,71,47,33,19,13,9,7,3,2
26,3,0,1184,1551,73,66,49,32,21,15,10,7,5,3,1,0,93,70,48,32,21,14,11,6,2,1
26,3,1,1184,1609,73,66,49,32,21,15,10,7,5,3,1,0,96,70,49,35,21,12,7,6,5,4
26,3,2,1184,1585,73,66,49,32,21,15,10,7,5,3,1,0,95,71,48,29,22,17,10,6,4,1
26,3,0,1122,1443,70,73,50,34,22,13,8,6,4,3,2,0,96,71,47,30,18,13,8,6,4,2
26,3,1,1122,1545,70,73,50,34,22,13,8,6,4,3,2,0,92,73,49,32,22,14,9,4,2,2
26,3,2,1122,1454,70,73,50,34,22,13,8,6,4,3,2,0,98,72,47,31,19,10,7,6,4,2
26,4,0,1715,1724,0,105,79,52,33,19,12,10,9,4,3,0,105,112,77,46,30,20,14,10,5,2
26,4,1,1715,1867,0,105,79,52,33,19,12,10,9,4,3,0,112,112,76,46,30,20,15,10,7,4
26,4,2,1715,1877,0,105,79,52,33,19,12,10,9,4,3,0,112,105,71,53,33,20,12,9,7,4
26,4,0,1813,1884,0,96,75,55,38,23,16,10,6,5,3,0,112,108,76,55,31,21,16,9,6,3
26,4,1,1813,1867,0,96,75,55,38,23,16,10,6,5,3,0,108,110,78,58,40,22,12,7,5,4
26,4,2,1813,1898,0,96,75,55,38,23,16,10,6,5,3,0,110,112,80,46,33,23,15,11,6,4
26,4,0,1765,1850,0,103,78,49,30,25,16,10,5,3,2,0,103,111,70,51,35,21,13,9,5,4
26,4,1,1765,1892,0,103,78,49,30,25,16,10,5,3,2,0,111,112,81,47,27,20,14,9,6,3
26,4,2,1765,1861,0,103,78,49,30,25,16,10,5,3,2,0,112,103,72,47,34,25,14,7,4,3
26,4,0,1716,1776,0,101,76,49,33,22,18,12,5,4,2,0,100,113,66,52,34,21,13,7,4,4
