q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,0,,1,629,900,0,44,31,22,14,10,7,5,2,2,1,47,48,32,22,14,10,7,4,3,2,1
26,0,,2,629,834,0,44,31,22,14,10,7,5,2,2,1,48,46,31,22,16,10,6,4,3,2,2
26,1,1,0,900,978,47,48,32,22,14,10,7,4,3,2,1,0,66,50,32,22,16,11,7,5,2,2
26,1,1,2,900,1017,47,48,32,22,14,10,7,4,3,2,1,0,68,47,34,22,15,9,7,5,4,3
26,1,2,0,834,838,48,46,31,22,16,10,6,4,3,2,2,0,64,50,34,23,15,8,6,4,3,3
26,1,2,1,834,890,48,46,31,22,16,10,6,4,3,2,2,0,64,48,30,22,16,10,8,5,2,1
26,1,2,2,834,893,48,46,31,22,16,10,6,4,3,2,2,0,64,46,34,22,14,11,5,4,4,2
26,2,10,0,978,1291,0,66,50,32,22,16,11,7,5,2,2,72,76,55,34,23,14,10,8,4,3,2
26,2,10,1,978,1302,0,66,50,32,22,16,11,7,5,2,2,70,72,45,35,26,18,12,5,3,3,3
26,2,10,2,978,1322,0,66,50,32,22,16,11,7,5,2,2,76,70,52,33,21,16,10,8,7,3,2
26,2,12,0,1017,1357,0,68,47,34,22,15,9,7,5,4,3,79,72,53,35,20,16,12,9,6,3,2
26,2,12,1,1017,1417,0,68,47,34,22,15,9,7,5,4,3,68,79,49,33,23,15,10,8,6,5,3
26,2,12,2,1017,1409,0,68,47,34,22,15,9,7,5,4,3,72,68,49,36,27,17,11,7,5,4,3
26,2,20,0,838,1051,0,64,50,34,23,15,8,6,4,3,3,74,66,48,33,21,14,8,6,4,3,1
26,2,20,1,838,1025,0,64,50,34,23,15,8,6,4,3,3,71,74,51,31,19,13,9,6,3,2,1
26,2,20,2,838,1078,0,64,50,34,23,15,8,6,4,3,3,66,71,48,33,23,13,8,5,4,2,2
26,2,21,0,890,1141,0,64,48,30,22,16,10,8,5,2,1,68,73,45,32,23,15,10,7,4,2,2
26,2,21,1,890,1126,0,64,48,30,22,16,10,8,5,2,1,68,68,47,32,22,16,10,6,3,3,1
26,2,21,2,890,1151,0,64,48,30,22,16,10,8,5,2,1,73,68,53,33,22,14,9,6,4,1,1
26,2,22,0,893,1122,0,64,46,34,22,14,11,5,4,4,2,66,70,46,33,22,15,11,5,4,3,2
26,2,22,1,893,1184,0,64,46,34,22,14,11,5,4,4,2,73,66,49,32,21,15,10,7,5,3,1
