layer60 states 132
target present True min_e 125
pathlen 59
edges 11 11 01 11 11 10 01 01 11 11 00 11 11 01 10 01 11 10 01 10 11 10 01 11 10 01 01 10 11 00 11 11 00 10 01 11 11 01 11 10 01 11 10 11 01 00 10 10 01 10 11 00 10 01 11 11 01 10 10
(1, (1, 1), (1, -20, 1, 1), 0)
(2, (1, 1), (1, -29, 1, 2), 0)
(3, (0, 1), (2, -44, 2, 2), 1)
(4, (1, 1), (2, -62, 2, 3), 2)
(5, (1, 1), (2, -89, 2, 4), 3)
(6, (1, 0), (1, -43, 2, 5), 4)
(7, (0, 1), (2, -65, 3, 5), 5)
(8, (0, 1), (3, -98, 4, 5), 7)
(9, (1, 1), (3, -134, 4, 6), 9)
(10, (1, 1), (3, -188, 4, 7), 11)
(11, (0, 0), (3, -94, 5, 7), 14)
(12, (1, 1), (3, -128, 5, 8), 16)
(13, (1, 1), (3, -179, 5, 9), 18)
(14, (0, 1), (4, -269, 6, 9), 21)
(15, (1, 0), (3, -121, 6, 10), 24)
(16, (0, 1), (4, -182, 7, 10), 27)
(17, (1, 1), (4, -233, 7, 11), 30)
(18, (1, 0), (3, -103, 7, 12), 33)
(19, (0, 1), (4, -155, 8, 12), 36)
(20, (1, 0), (3, -64, 8, 13), 39)
(21, (1, 1), (3, -83, 8, 14), 41)
(22, (1, 0), (2, -37, 8, 15), 43)
(23, (0, 1), (3, -56, 9, 15), 45)
(24, (1, 1), (3, -71, 9, 16), 47)
(25, (1, 0), (2, -31, 9, 17), 49)
(26, (0, 1), (3, -47, 10, 17), 51)
(27, (0, 1), (4, -71, 11, 17), 54)
(28, (1, 0), (3, -22, 11, 18), 57)
(29, (1, 1), (3, -20, 11, 19), 59)
(30, (0, 0), (3, -10, 12, 19), 62)
(31, (1, 1), (3, -2, 12, 20), 64)
(32, (1, 1), (3, 10, 12, 21), 66)
(33, (0, 0), (3, 5, 13, 21), 69)
(34, (1, 0), (2, 7, 13, 22), 71)
(35, (0, 1), (3, 10, 14, 22), 73)
(36, (1, 1), (3, 28, 14, 23), 75)
(37, (1, 1), (3, 55, 14, 24), 77)
(38, (0, 1), (4, 82, 15, 24), 80)
(39, (1, 1), (4, 163, 15, 25), 83)
(40, (1, 0), (3, 95, 15, 26), 86)
(41, (0, 1), (4, 142, 16, 26), 89)
(42, (1, 1), (4, 253, 16, 27), 92)
(43, (1, 0), (3, 140, 16, 28), 95)
(44, (1, 1), (3, 223, 16, 29), 97)
(45, (0, 1), (4, 334, 17, 29), 100)
(46, (0, 0), (4, 167, 18, 29), 104)
(47, (1, 0), (3, 97, 18, 30), 107)
(48, (1, 0), (2, 53, 18, 31), 109)
(49, (0, 1), (3, 79, 19, 31), 111)
(50, (1, 0), (2, 44, 19, 32), 113)
(51, (1, 1), (2, 70, 19, 33), 114)
(52, (0, 0), (2, 35, 20, 33), 116)
(53, (1, 0), (1, 19, 20, 34), 117)
(54, (0, 1), (2, 28, 21, 34), 118)
(55, (1, 1), (2, 46, 21, 35), 119)
(56, (1, 1), (2, 73, 21, 36), 120)
(57, (0, 1), (3, 109, 22, 36), 122)
(58, (1, 0), (2, 59, 22, 37), 124)
(59, (1, 0), (1, 31, 22, 38), 125)
